Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
244,A32,PAUTY Maxime,25513,FRA,SHIKINE Takahiro,31919,JPN,Won,15,9
244,A32,IIMURA Kazuki,46543,JPN,ABOUELKASSEM Alaaeldin,18031,EGY,Won,15,8
244,A32,KERYHUEL Jeremy Fafa,42585,CIV,MASSIALAS Alexander,21958,USA,Loss,3,15
244,A32,LEFORT Enzo,22555,FRA,CHEN Yi-Tung,43301,TPE,Won,15,12
244,A32,CHEN Haiwei,32250,CHN,MEINHARDT Gerek,14397,USA,Loss,7,15
244,A32,MO Ziwei,40236,CHN,TOLDO Guilherme,22963,BRA,Won,15,7
244,A32,GU Daniel,31660,CAN,CHEUNG Ka Long,30878,HKG,Loss,5,15
244,A32,HAMZA Mohamed,37194,EGY,JURKIEWICZ Jan,40486,POL,Won,15,14
244,A32,HA Taegyu,18861,KOR,LLAVADOR Carlos,21966,ESP,Loss,13,15
244,A32,MACCHI Filippo,45453,ITA,XU Jie,43549,CHN,Won,15,10
244,A32,MERTINE Julien,17449,FRA,MATSUYAMA Kyosuke,29076,JPN,Loss,6,15
244,A32,CHOUPENITCH Alexander,21765,CZE,SIESS Michal,28616,POL,Won,15,3
244,A32,VAN HAASTER Maximilien,17929,CAN,BIANCHI Guillaume,32275,ITA,Loss,4,15
244,A32,DOSA Daniel,29031,HUN,TOLBA Abdelrahman Hussein,52953,EGY,Loss,14,15
244,A32,TOFALIDES Alex,22256,CYP,ITKIN Nick,36441,USA,Loss,10,15
244,A16,MARINI Tommaso,41142,ITA,PAUTY Maxime,25513,FRA,Loss,14,15
244,A16,IIMURA Kazuki,46543,JPN,MASSIALAS Alexander,21958,USA,Won,15,8
244,A16,LEFORT Enzo,22555,FRA,MEINHARDT Gerek,14397,USA,Won,15,10
244,A16,MO Ziwei,40236,CHN,CHEUNG Ka Long,30878,HKG,Loss,10,15
244,A16,HAMZA Mohamed,37194,EGY,LLAVADOR Carlos,21966,ESP,Won,15,12
244,A16,MACCHI Filippo,45453,ITA,MATSUYAMA Kyosuke,29076,JPN,Won,15,11
244,A16,CHOUPENITCH Alexander,21765,CZE,BIANCHI Guillaume,32275,ITA,Loss,5,15
244,A16,TOLBA Abdelrahman Hussein,52953,EGY,ITKIN Nick,36441,USA,Loss,8,15
244,A8,PAUTY Maxime,25513,FRA,IIMURA Kazuki,46543,JPN,Loss,14,15
244,A8,LEFORT Enzo,22555,FRA,CHEUNG Ka Long,30878,HKG,Loss,14,15
244,A8,HAMZA Mohamed,37194,EGY,MACCHI Filippo,45453,ITA,Loss,9,15
244,A8,BIANCHI Guillaume,32275,ITA,ITKIN Nick,36441,USA,Loss,14,15
244,A4,IIMURA Kazuki,46543,JPN,CHEUNG Ka Long,30878,HKG,Loss,11,15
244,A4,MACCHI Filippo,45453,ITA,ITKIN Nick,36441,USA,Won,15,11
244,A2,CHEUNG Ka Long,30878,HKG,MACCHI Filippo,45453,ITA,Won,15,14
244,C2,IIMURA Kazuki,46543,JPN,ITKIN Nick,36441,USA,Loss,12,15
245,A64,BALZER Sara,29003,FRA,,0,,Loss,0,0
245,A64,KEHLI Zohra Nora,48621,ALG,DAGHFOUS Yasmine,37081,TUN,Loss,12,15
